Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Var GC 2 28s,0.1641791,0.8358209,0.3283582,0.1641791,0.8459614
Var GC 3 28s,0.8159204,0.1840796,0.3681592,0.8159204,0.9198942
Tajima-D 28s,0,1,0,0,5.498335
Tajima-Pi 28s,0,1,0,0,2.881061
Multinomial-Likelihood 28s,1,0,0,1,7.109862
Number Invariant Sites Excluding Ambiguous ABD,1,0,0,1,4.04308
Max GC ABD,1,0,0,1,2.812172
Max GC Excluding Ambiguous ABD,1,0,0,1,3.150661
Max Invariant Block Length Excluding Ambiguous ABD,0.4726368,0.7363184,0.9452736,0.3681592,0.3888613
Max Pairwise Difference ABD,0.6517413,0.3731343,0.7462687,0.6393035,0.3917671
Max Variable Block Length Excluding Ambiguous ABD,0,1,0,0,1.748334
Min GC Excluding Ambiguous ABD,0.3731343,0.6268657,0.7462687,0.3731343,0.3825952
Number Invariable Block Excluding Ambiguous ABD,1,0,0,1,4.227878
Mean GC ABD,0.8606965,0.1393035,0.278607,0.8606965,0.9696878
Mean GC 1 ABD,0.7910448,0.2089552,0.4179104,0.7910448,0.8752289
Mean GC 2 ABD,0.1044776,0.8955224,0.2089552,0.1044776,1.327147
Mean GC 3 ABD,0.9701493,0.02985075,0.05970149,0.9701493,1.842128
Var GC ABD,0.8557214,0.1442786,0.2885572,0.8557214,1.0047
Var GC 1 ABD,0.7860697,0.2139303,0.4278607,0.7860697,0.9027121
Var GC 2 ABD,0.1094527,0.8905473,0.2189055,0.1094527,1.286203
Var GC 3 ABD,0.960199,0.039801,0.07960199,0.960199,1.976386
Tajima-D ABD,0.004975124,0.9950249,0.009950249,0.004975124,2.849167
Tajima-Pi ABD,0.02487562,0.9751244,0.04975124,0.02487562,0.7767914
Multinomial-Likelihood ABD,1,0,0,1,3.873028
Number Invariant Sites Excluding Ambiguous Arg,0.4129353,0.6318408,0.8258706,0.3905473,0.2901696
Max GC Arg,0.5970149,0.4029851,0.8059701,0.5970149,0.179634
Max GC Excluding Ambiguous Arg,0.5671642,0.4328358,0.8656716,0.5671642,0.1922179
Max Invariant Block Length Excluding Ambiguous Arg,0.05472637,0.9950249,0.1094527,0.02985075,1.419894
Max Pairwise Difference Arg,0.9950249,0.004975124,0.009950249,0.9950249,2.654604
Max Variable Block Length Excluding Ambiguous Arg,0.7910448,0.4427861,0.8855721,0.6741294,0.6779046
Min GC Excluding Ambiguous Arg,0,1,0,0,3.553177
Number Invariable Block Excluding Ambiguous Arg,1,0,0,1,4.638236
Mean GC Arg,0.159204,0.840796,0.318408,0.159204,1.311076
Mean GC 1 Arg,1,0,0,1,3.74728
Mean GC 2 Arg,0.2338308,0.7661692,0.4676617,0.2338308,0.9197325
Mean GC 3 Arg,0,1,0,0,5.823592
Var GC Arg,0.1144279,0.8855721,0.2288557,0.1144279,0.9166995
Var GC 1 Arg,1,0,0,1,4.643617
Var GC 2 Arg,0.159204,0.840796,0.318408,0.159204,0.6791704
Var GC 3 Arg,0,1,0,0,4.666334
Tajima-D Arg,0.4179104,0.5820896,0.8358209,0.4179104,0.08565541
Tajima-Pi Arg,1,0,0,1,3.082303e+14
Multinomial-Likelihood Arg,0.4129353,0.5870647,0.8258706,0.4129353,0.2395922
Number Invariant Sites Excluding Ambiguous CAD,0.1393035,0.8706468,0.278607,0.1343284,1.019494
Max GC CAD,1,0,0,1,3.123509
Max GC Excluding Ambiguous CAD,0.960199,0.039801,0.07960199,0.960199,0.8384541
Max Invariant Block Length Excluding Ambiguous CAD,0,1,0,0,1.983369
Max Pairwise Difference CAD,1,0,0,1,7.879807
Max Variable Block Length Excluding Ambiguous CAD,1,0,0,1,5.770972
Min GC Excluding Ambiguous CAD,0.5273632,0.4726368,0.9452736,0.5273632,0.7543072
Number Invariable Block Excluding Ambiguous CAD,0.9950249,0.004975124,0.009950249,0.9950249,2.72568
Mean GC CAD,0.08457711,0.9154229,0.1691542,0.08457711,1.143167
Mean GC 1 CAD,0.9154229,0.08457711,0.1691542,0.9154229,1.161693
Mean GC 2 CAD,0,1,0,0,5.054558
Mean GC 3 CAD,0.9751244,0.02487562,0.04975124,0.9751244,1.726546
Var GC CAD,0.1144279,0.8855721,0.2288557,0.1144279,1.097532
Var GC 1 CAD,0.8258706,0.1741294,0.3482587,0.8258706,1.037401
Var GC 2 CAD,0,1,0,0,4.456454
Var GC 3 CAD,0.9950249,0.004975124,0.009950249,0.9950249,2.329037
Tajima-D CAD,0.9950249,0.004975124,0.009950249,0.9950249,2.61898
Tajima-Pi CAD,0.9502488,0.04975124,0.09950249,0.9502488,2.896666
Multinomial-Likelihood CAD,0.1293532,0.8706468,0.2587065,0.1293532,1.044644
Number Invariant Sites Excluding Ambiguous EF1,0.761194,0.2437811,0.4875622,0.7587065,0.8375822
Max GC EF1,0.1840796,0.8159204,0.3681592,0.1840796,0.9035103
Max GC Excluding Ambiguous EF1,0.1890547,0.8109453,0.3781095,0.1890547,0.913581
Max Invariant Block Length Excluding Ambiguous EF1,0.159204,0.9353234,0.318408,0.1119403,1.148127
Max Pairwise Difference EF1,0.5472637,0.5174129,1.034826,0.5149254,0
Max Variable Block Length Excluding Ambiguous EF1,0.4676617,0.800995,0.9353234,0.3333333,0.7661135
Min GC Excluding Ambiguous EF1,0.004975124,0.9950249,0.009950249,0.004975124,2.799956
Number Invariable Block Excluding Ambiguous EF1,1,0,0,1,5.524561
Mean GC EF1,0.039801,0.960199,0.07960199,0.039801,1.520409
Mean GC 1 EF1,0,1,0,0,5.743239
Mean GC 2 EF1,1,0,0,1,3.795146
Mean GC 3 EF1,0.04975124,0.9502488,0.09950249,0.04975124,1.74903
Var GC EF1,0.06467662,0.9353234,0.1293532,0.06467662,1.484661
Var GC 1 EF1,0,1,0,0,4.757224
Var GC 2 EF1,1,0,0,1,4.414685
Var GC 3 EF1,0.05472637,0.9452736,0.1094527,0.05472637,1.678249
Tajima-D EF1,0.08457711,0.9154229,0.1691542,0.08457711,1.336858
Tajima-Pi EF1,0.199005,0.800995,0.39801,0.199005,1.451469
Multinomial-Likelihood EF1,0.6616915,0.3383085,0.6766169,0.6616915,0.5337821
Number Invariant Sites Excluding Ambiguous EF2,0.04975124,0.9552239,0.09950249,0.04726368,1.532031
Max GC EF2,0.9751244,0.02487562,0.04975124,0.9751244,2.112815
Max GC Excluding Ambiguous EF2,0.9751244,0.02487562,0.04975124,0.9751244,2.112815
Max Invariant Block Length Excluding Ambiguous EF2,0,1,0,0,2.634329
Max Pairwise Difference EF2,0.9701493,0.02985075,0.05970149,0.9701493,2.20293
Max Variable Block Length Excluding Ambiguous EF2,0.641791,0.7412935,1.283582,0.4502488,0
Min GC Excluding Ambiguous EF2,0.009950249,0.9900498,0.0199005,0.009950249,2.410546
Number Invariable Block Excluding Ambiguous EF2,1,0,0,1,6.637265
Mean GC EF2,0.2238806,0.7761194,0.4477612,0.2238806,0.9024047
Mean GC 1 EF2,0.8905473,0.1094527,0.2189055,0.8905473,1.155949
Mean GC 2 EF2,0.4527363,0.5472637,0.9054726,0.4527363,0.009431147
Mean GC 3 EF2,0.009950249,0.9900498,0.0199005,0.009950249,3.079943
Var GC EF2,0.1741294,0.8258706,0.3482587,0.1741294,0.8363165
Var GC 1 EF2,0.9452736,0.05472637,0.1094527,0.9452736,1.728574
Var GC 2 EF2,0.5223881,0.4776119,0.9552239,0.5223881,0.007570756
Var GC 3 EF2,0.004975124,0.9950249,0.009950249,0.004975124,2.81183
Tajima-D EF2,0.9900498,0.009950249,0.0199005,0.9900498,2.827132
Tajima-Pi EF2,0.9950249,0.004975124,0.009950249,0.9950249,2.500667
Multinomial-Likelihood EF2,0.04477612,0.9552239,0.08955224,0.04477612,1.539336
Number Invariant Sites Excluding Ambiguous lg,0.9800995,0.02487562,0.04975124,0.9776119,2.027144
Max GC lg,0.5970149,0.4029851,0.8059701,0.5970149,0.2971204
Max GC Excluding Ambiguous lg,0.5970149,0.4029851,0.8059701,0.5970149,0.2967007
Max Invariant Block Length Excluding Ambiguous lg,0.7064677,0.5820896,1.164179,0.5621891,0
Max Pairwise Difference lg,0.9751244,0.03482587,0.06965174,0.9701493,2.090937
Max Variable Block Length Excluding Ambiguous lg,0.6268657,0.5472637,1.094527,0.539801,0
Min GC Excluding Ambiguous lg,0,1,0,0,4.047038
Number Invariable Block Excluding Ambiguous lg,0.9452736,0.07960199,0.159204,0.9328358,1.496967
Mean GC lg,0.1492537,0.8507463,0.2985075,0.1492537,1.213958
Mean GC 1 lg,0.9950249,0.004975124,0.009950249,0.9950249,3.702811
Mean GC 2 lg,0.009950249,0.9900498,0.0199005,0.009950249,2.401528
Mean GC 3 lg,0,1,0,0,3.479308
Var GC lg,0.1691542,0.8308458,0.3383085,0.1691542,1.106257
Var GC 1 lg,1,0,0,1,4.368465
Var GC 2 lg,0.009950249,0.9900498,0.0199005,0.009950249,2.123159
Var GC 3 lg,0,1,0,0,3.150606
Tajima-D lg,0.1542289,0.8457711,0.3084577,0.1542289,0.9765883
Tajima-Pi lg,0.1293532,0.8706468,0.2587065,0.1293532,1.246762
Multinomial-Likelihood lg,0.9800995,0.0199005,0.039801,0.9800995,2.085865
Number Invariant Sites Excluding Ambiguous WG,0.8159204,0.199005,0.39801,0.8084577,0.8903695
Max GC WG,0.1492537,0.8507463,0.2985075,0.1492537,0.9540827
Max GC Excluding Ambiguous WG,0.1542289,0.8457711,0.3084577,0.1542289,1.004402
Max Invariant Block Length Excluding Ambiguous WG,0.318408,0.9701493,0.6368159,0.1741294,0.6990583
Max Pairwise Difference WG,0.9303483,0.09950249,0.199005,0.9154229,1.439638
Max Variable Block Length Excluding Ambiguous WG,0.6915423,0.4527363,0.9054726,0.619403,0.4157824
Min GC Excluding Ambiguous WG,0,1,0,0,5.499968
Number Invariable Block Excluding Ambiguous WG,0.960199,0.04477612,0.08955224,0.9577114,1.792116
Mean GC WG,0.03482587,0.9651741,0.06965174,0.03482587,2.171879
Mean GC 1 WG,0.06467662,0.9353234,0.1293532,0.06467662,1.503524
Mean GC 2 WG,0,1,0,0,4.183914
Mean GC 3 WG,0.8855721,0.1144279,0.2288557,0.8855721,1.204728
Var GC WG,0.03482587,0.9651741,0.06965174,0.03482587,2.082318
Var GC 1 WG,0.06467662,0.9353234,0.1293532,0.06467662,1.441858
Var GC 2 WG,0,1,0,0,3.702036
Var GC 3 WG,0.920398,0.07960199,0.159204,0.920398,1.526929
Tajima-D WG,0.3830846,0.6169154,0.7661692,0.3830846,0.2430122
Tajima-Pi WG,0.5124378,0.4875622,0.9751244,0.5124378,0.2352072
Multinomial-Likelihood WG,0.5273632,0.4726368,0.9452736,0.5273632,0.04170869
Tip State Frequency 0,1,0,0,1,19.6583
Tip State Frequency 1,1,0,0,1,5.011623
Tip State Frequency 2,0,1,0,0,2.984841
Tip State Frequency 3,0,1,0,0,4.92756
Tip State Frequency 4,0,1,0,0,5.546229
Tip State Frequency 5,0,1,0,0,5.074398
Tip State Frequency 6,0,1,0,0,5.077983
Number Invariant Sites Morpho Excluding Ambiguous,1,0,0,1,inf
Max Pairwise Difference Morpho,1,0,0,1,9.085018
