Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Max Pairwise Difference lg,0.9108911,0.0990099,0.1980198,0.9059406,1.354725
Max Variable Block Length Excluding Ambiguous lg,0.6039604,0.5693069,1.138614,0.5173267,0
Min GC Excluding Ambiguous lg,0,1,0,0,4.207146
Number Invariable Block Excluding Ambiguous lg,0.9752475,0.04950495,0.0990099,0.9628713,1.803902
Mean GC lg,0.0990099,0.9009901,0.1980198,0.0990099,1.37676
Mean GC 1 lg,1,0,0,1,3.462749
Mean GC 2 lg,0,1,0,0,2.681531
Mean GC 3 lg,0,1,0,0,3.403386
Var GC lg,0.1188119,0.8811881,0.2376238,0.1188119,1.30987
Var GC 1 lg,1,0,0,1,4.059675
Var GC 2 lg,0,1,0,0,2.42604
Var GC 3 lg,0,1,0,0,2.972295
Tajima-D lg,0.0990099,0.9009901,0.1980198,0.0990099,1.357014
Tajima-Pi lg,0.05940594,0.9405941,0.1188119,0.05940594,1.047713
Multinomial-Likelihood lg,0.9653465,0.03465347,0.06930693,0.9653465,1.918936
Number Invariant Sites Excluding Ambiguous WG,0.8316832,0.2277228,0.4554455,0.8019802,0.814456
Max GC WG,0.1237624,0.8762376,0.2475248,0.1237624,1.117581
Max GC Excluding Ambiguous WG,0.1237624,0.8762376,0.2475248,0.1237624,1.128078
Max Invariant Block Length Excluding Ambiguous WG,0.2079208,0.9554455,0.4158416,0.1262376,0.6281386
Max Pairwise Difference WG,0.8663366,0.1633663,0.3267327,0.8514851,1.084358
Max Variable Block Length Excluding Ambiguous WG,0.6534653,0.529703,1.059406,0.5618812,0
Min GC Excluding Ambiguous WG,0,1,0,0,6.103987
Number Invariable Block Excluding Ambiguous WG,0.980198,0.04455446,0.08910891,0.9678218,1.826809
Mean GC WG,0.00990099,0.990099,0.01980198,0.00990099,2.386735
Mean GC 1 WG,0.04950495,0.950495,0.0990099,0.04950495,1.567329
Mean GC 2 WG,0,1,0,0,4.538323
Mean GC 3 WG,0.8762376,0.1237624,0.2475248,0.8762376,1.202662
Var GC WG,0.00990099,0.990099,0.01980198,0.00990099,2.261916
Var GC 1 WG,0.04950495,0.950495,0.0990099,0.04950495,1.412254
Var GC 2 WG,0,1,0,0,3.891065
Var GC 3 WG,0.9257426,0.07425743,0.1485149,0.9257426,1.440861
Tajima-D WG,0.2326733,0.7673267,0.4653465,0.2326733,0.6515863
Tajima-Pi WG,0.3514851,0.6485149,0.7029703,0.3514851,0.5635363
Multinomial-Likelihood WG,0.4950495,0.5049505,0.990099,0.4950495,0.01016371
Tip State Frequency 0,1,0,0,1,7.670819
Tip State Frequency 1,0,1,0,0,6.003545
Tip State Frequency 2,0.01980198,0.980198,0.03960396,0.01980198,2.462801
Tip State Frequency 3,0.4554455,0.5445545,0.9108911,0.4554455,0.1185759
Tip State Frequency 4,0.6881188,0.3118812,0.6237624,0.6881188,0.5966976
Tip State Frequency 5,0.4009901,0.5990099,0.8019802,0.4009901,0.2055374
Tip State Frequency 6,0.8118812,0.1881188,0.3762376,0.8118812,0.08513337
Number Invariant Sites Morpho Excluding Ambiguous,0.004950495,1,0.00990099,0.002475248,2.365099
Max Pairwise Difference Morpho,0.02970297,0.9752475,0.05940594,0.02722772,1.696799
